AccX,AccY,AccZ
0.25857377,7.043741,4.2281604
-1.0726024,1.0965444,11.671733
-0.16759412,-0.63206923,12.658144
-0.007182605,6.0501475,3.6583402
-1.5514427,-4.2281604,10.441113
-0.8834604,-1.8459295,8.825027
-1.1324574,-3.0238767,16.64449
1.661576,3.371036,19.369091
0.25139117,4.8003745,9.165004
0.50517654,4.3047748,2.2122424
-4.4675803,-2.2768857,15.574282
-1.1683705,1.5586253,16.938976
1.0726024,3.6774938,12.356475
0.25617957,2.7006595,10.6158905
0.7757214,5.7365074,2.1691468
-2.3894134,-10.005369,14.123396
-1.8100165,-0.4141969,9.500193
2.492364,1.508347,3.0669725
-0.90979666,0.24899697,5.8801594
-1.5275006,-5.1235914,19.30445
-1.9919758,3.277662,11.386824
3.1172507,-1.043872,11.401189
-4.4915223,1.5849615,11.374852
-4.0940847,-8.913613,12.492945
5.2528787,2.9496565,5.9424086
-2.5929205,6.256049,4.3861775
-1.8315643,0.2777274,16.500837
1.5490485,7.7572136,0.92895025
-0.4285621,-6.801927,7.3645644
-1.3120226,4.76925,18.497602
0.5746084,0.5746084,3.98874
0.7326257,1.7836803,1.7597382
-1.733402,-5.9519854,12.952631
0.7469909,4.644751,15.045163
1.4628572,0.47644615,4.3406878
-1.1851299,3.7612908,6.8641763
-0.08140286,-0.9744401,17.255013
-0.94092125,9.368511,14.96376
-0.4165911,3.0334535,13.129802
2.1380222,5.2624555,21.756111
-0.90500826,3.0693667,8.085219
-2.8275523,-0.7541735,-1.6232687
-1.3503298,-9.797073,10.125079
0.5410896,-0.4165911,4.5992613
0.2657564,-7.0940194,5.604826
-2.2840683,1.0151415,6.3063273
2.456451,-0.8571242,9.526528
3.083732,6.4667387,3.040636
-2.1667526,-2.741361,-3.7900212
-1.0247183,-2.5905263,16.74026
2.516306,3.3255463,0.30406362
-0.90979666,2.6623523,10.730812
-0.050278235,4.1180267,10.55843
-0.521936,0.50757074,5.281609
-1.9656396,4.6662993,5.183447
2.4779987,2.980781,14.738706
